"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 12 14:45:33 GMT 2022","Tue Jul 12 14:45:35 GMT 2022","2013","","Parabank - demo site","","","","redirect to sign up",""
"passed","Tue Jul 12 14:45:32 GMT 2022","Tue Jul 12 14:45:33 GMT 2022","1716","","Parabank - demo site","","","","contains correct url",""
